Age;Sexe;Nationalite;Quartier,,,
79;M;GB;HOLLERICH,,,
79;F;L;BONNEVOIE-SUD,,,
80;F;L;GASPERICH,,,
80;M;L;CESSANGE,,,
80;M;E;LIMPERTSBERG,,,
80;M;L;MERL,,,
79;M;I;BONNEVOIE-SUD,,,
79;F;L;CENTS,,,
79;F;L;BELAIR,,,
79;M;L;BONNEVOIE-NORD/VERLORENKOST,,,
80;M;L;LIMPERTSBERG,,,
80;M;L;HOLLERICH,,,
79;F;D;KIRCHBERG,,,
80;M;L;LIMPERTSBERG,,,
80;M;L;CENTS,,,
79;M;L;CENTS,,,
78;M;L;CESSANGE,,,
78;F;L;CLAUSEN,,,
79;F;L;KIRCHBERG,,,
78;F;L;LIMPERTSBERG,,,
78;M;L;HOLLERICH,,,
78;M;L;EICH,,,
78;F;L;BONNEVOIE-SUD,,,
81;F;L;WEIMERSKIRCH,,,
79;F;L;BELAIR,,,
78;F;L;BELAIR,,,
78;F;L;HOLLERICH,,,
79;M;L,D;BELAIR,,
81;M;L;LIMPERTSBERG,,,
79;M;I;BONNEVOIE-SUD,,,
81;F;I;BELAIR,,,
81;M;CV;BONNEVOIE-NORD/VERLORENKOST,,,
81;M;F;VILLE-HAUTE,,,
78;F;L;CENTS,,,
81;F;L;ROLLINGERGRUND/BELAIR-NORD,,,
79;F;L;HAMM,,,
81;M;GR;ROLLINGERGRUND/BELAIR-NORD,,,
80;F;L,I;GARE,,
80;M;L;CESSANGE,,,
81;M;I;CENTS,,,
81;F;L;BEGGEN,,,
80;M;I;CLAUSEN,,,
80;M;B;LIMPERTSBERG,,,
81;M;P;GARE,,,
81;F;L;PULVERMUEHL,,,
81;M;L;BEGGEN,,,
80;F;L;CESSANGE,,,
80;F;L;CENTS,,,
80;M;L;VILLE-HAUTE,,,
80;F;L;GRUND,,,
81;M;L;VILLE-HAUTE,,,
79;F;L;EICH,,,
79;F;DK;LIMPERTSBERG,,,
79;M;L;EICH,,,
79;M;L;LIMPERTSBERG,,,
78;F;L;LIMPERTSBERG,,,
81;F;L;PFAFFENTHAL,,,
80;F;D;ROLLINGERGRUND/BELAIR-NORD,,,
80;F;L;VILLE-HAUTE,,,
80;M;L;CENTS,,,
80;F;L;KIRCHBERG,,,
80;M;L;CENTS,,,
80;F;D;GARE,,,
80;F;B;DOMMELDANGE,,,
79;F;L;CENTS,,,
79;F;L;DOMMELDANGE,,,
80;M;L;LIMPERTSBERG,,,
80;F;L;CESSANGE,,,
80;M;P;BONNEVOIE-NORD/VERLORENKOST,,,
80;F;L;CENTS,,,
79;F;L;MUEHLENBACH,,,
79;M;L;NEUDORF/WEIMERSHOF,,,
81;M;L;CENTS,,,
79;F;L;GRUND,,,
79;M;L;CENTS,,,
80;F;L;CESSANGE,,,
78;F;L;BELAIR,,,
78;F;L;VILLE-HAUTE,,,
80;M;MNE;NEUDORF/WEIMERSHOF,,,
79;F;L;BELAIR,,,
80;F;L;ROLLINGERGRUND/BELAIR-NORD,,,
79;M;L;KIRCHBERG,,,
79;M;IRL;KIRCHBERG,,,
80;F;L;CESSANGE,,,
79;F;L;KIRCHBERG,,,
79;F;L;LIMPERTSBERG,,,
