DATAFLOW,COUNTRY: Country of residence,REGION: Tourist region,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_COUNTRY_2: Note Country 2,NOTE_COUNTRY_1: Note Country 1,NOTE_REGION_2: Note Region 2,NOTE_REGION_1: Note Region 1,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_D5301(1.0),SL04: Turkey,R08: Southern region,A: Annual,2020,2231,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL04: Turkey,R08: Southern region,A: Annual,2021,3593,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL36: United States of America,R05: Ardennes,A: Annual,2011,508,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL36: United States of America,R05: Ardennes,A: Annual,2012,607,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL36: United States of America,R05: Ardennes,A: Annual,2013,483,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL36: United States of America,R05: Ardennes,A: Annual,2014,679,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL36: United States of America,R05: Ardennes,A: Annual,2015,671,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL36: United States of America,R05: Ardennes,A: Annual,2016,664,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL36: United States of America,R05: Ardennes,A: Annual,2017,619,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL36: United States of America,R05: Ardennes,A: Annual,2018,600,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL36: United States of America,R05: Ardennes,A: Annual,2019,555,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL36: United States of America,R05: Ardennes,A: Annual,2020,153,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL36: United States of America,R05: Ardennes,A: Annual,2021,507,,,,,,,,0: Zero
LU1:DF_D5301(1.0),"SL11: Australia, Oceania and other territories",R07: Moselle,A: Annual,2011,81,,,,,,,,0: Zero
LU1:DF_D5301(1.0),"SL11: Australia, Oceania and other territories",R07: Moselle,A: Annual,2012,104,,,,,,,,0: Zero
LU1:DF_D5301(1.0),"SL11: Australia, Oceania and other territories",R07: Moselle,A: Annual,2013,103,,,,,,,,0: Zero
LU1:DF_D5301(1.0),"SL11: Australia, Oceania and other territories",R07: Moselle,A: Annual,2014,116,,,,,,,,0: Zero
LU1:DF_D5301(1.0),"SL11: Australia, Oceania and other territories",R07: Moselle,A: Annual,2015,110,,,,,,,,0: Zero
LU1:DF_D5301(1.0),"SL11: Australia, Oceania and other territories",R07: Moselle,A: Annual,2016,102,,,,,,,,0: Zero
LU1:DF_D5301(1.0),"SL11: Australia, Oceania and other territories",R07: Moselle,A: Annual,2017,121,,,,,,,,0: Zero
LU1:DF_D5301(1.0),"SL11: Australia, Oceania and other territories",R07: Moselle,A: Annual,2018,101,,,,,,,,0: Zero
LU1:DF_D5301(1.0),"SL11: Australia, Oceania and other territories",R07: Moselle,A: Annual,2019,69,,,,,,,,0: Zero
LU1:DF_D5301(1.0),"SL11: Australia, Oceania and other territories",R07: Moselle,A: Annual,2020,15,,,,,,,,0: Zero
LU1:DF_D5301(1.0),"SL11: Australia, Oceania and other territories",R07: Moselle,A: Annual,2021,44,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL02: EFTA countries,R05: Ardennes,A: Annual,2011,693,SL30: European Free Trade Association.,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL02: EFTA countries,R05: Ardennes,A: Annual,2012,724,SL30: European Free Trade Association.,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL02: EFTA countries,R05: Ardennes,A: Annual,2013,769,SL30: European Free Trade Association.,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL02: EFTA countries,R05: Ardennes,A: Annual,2014,1206,SL30: European Free Trade Association.,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL02: EFTA countries,R05: Ardennes,A: Annual,2015,872,SL30: European Free Trade Association.,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL02: EFTA countries,R05: Ardennes,A: Annual,2016,772,SL30: European Free Trade Association.,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL02: EFTA countries,R05: Ardennes,A: Annual,2017,768,SL30: European Free Trade Association.,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL02: EFTA countries,R05: Ardennes,A: Annual,2018,678,SL30: European Free Trade Association.,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL02: EFTA countries,R05: Ardennes,A: Annual,2019,650,SL30: European Free Trade Association.,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL02: EFTA countries,R05: Ardennes,A: Annual,2020,480,SL30: European Free Trade Association.,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL02: EFTA countries,R05: Ardennes,A: Annual,2021,1124,SL30: European Free Trade Association.,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL01: Luxembourg,R06: Mullerthal,A: Annual,2011,8531,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL01: Luxembourg,R06: Mullerthal,A: Annual,2012,6965,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL01: Luxembourg,R06: Mullerthal,A: Annual,2013,7635,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL01: Luxembourg,R06: Mullerthal,A: Annual,2014,10622,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL01: Luxembourg,R06: Mullerthal,A: Annual,2015,11851,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL01: Luxembourg,R06: Mullerthal,A: Annual,2016,12707,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL01: Luxembourg,R06: Mullerthal,A: Annual,2017,11840,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL01: Luxembourg,R06: Mullerthal,A: Annual,2018,10685,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL01: Luxembourg,R06: Mullerthal,A: Annual,2019,10942,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL01: Luxembourg,R06: Mullerthal,A: Annual,2020,14543,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL01: Luxembourg,R06: Mullerthal,A: Annual,2021,10088,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL05: Ukraine,R07: Moselle,A: Annual,2011,12,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL05: Ukraine,R07: Moselle,A: Annual,2012,28,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL05: Ukraine,R07: Moselle,A: Annual,2013,29,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL05: Ukraine,R07: Moselle,A: Annual,2014,21,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL05: Ukraine,R07: Moselle,A: Annual,2015,55,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL05: Ukraine,R07: Moselle,A: Annual,2016,35,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL05: Ukraine,R07: Moselle,A: Annual,2017,42,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL05: Ukraine,R07: Moselle,A: Annual,2018,43,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL05: Ukraine,R07: Moselle,A: Annual,2019,36,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL05: Ukraine,R07: Moselle,A: Annual,2020,25,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL05: Ukraine,R07: Moselle,A: Annual,2021,30,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL39: Japan,R07: Moselle,A: Annual,2011,37,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL39: Japan,R07: Moselle,A: Annual,2012,68,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL39: Japan,R07: Moselle,A: Annual,2013,37,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL39: Japan,R07: Moselle,A: Annual,2014,216,,,,,,,,0: Zero
