number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
264,18.051370003783276,2023-09-16 01:34:15.108018,2023-09-16 01:34:55.324067,0 days 00:00:40.216049,0.7174067955362071,0.019177671881924156,3,485,0.059923609414475346,0.7432485998381809,0.5438728342080916,COMPLETE
265,18.454029380724798,2023-09-16 01:34:55.324067,2023-09-16 01:35:32.842005,0 days 00:00:37.517938,0.6319847991135104,0.07980342402881588,3,495,0.10939098754987965,0.7189197080439125,0.5719826655179507,COMPLETE
266,24.304268249868528,2023-09-16 01:35:32.842005,2023-09-16 01:36:12.029074,0 days 00:00:39.187069,0.6450573633851084,0.3889795013576355,3,511,0.022882281431254415,0.6952388495982955,0.58146653115184,COMPLETE
267,29.94940754905469,2023-09-16 01:36:12.029074,2023-09-16 01:36:51.398482,0 days 00:00:39.369408,0.7502682899672412,0.6986175776853718,3,462,0.09056283085400967,0.7353152573843778,0.5217244615581446,COMPLETE
268,22.452766471580183,2023-09-16 01:36:51.398482,2023-09-16 01:37:31.584763,0 days 00:00:40.186281,0.6985768404346028,0.43080699907474773,3,498,0.0059250100550621715,0.708945778788631,0.5566788708119493,COMPLETE
269,18.971006865946237,2023-09-16 01:37:31.584763,2023-09-16 01:38:05.669998,0 days 00:00:34.085235,0.6746299258423514,0.1627419695369871,3,430,0.05469001816319584,0.6577977544111764,0.592749240970406,COMPLETE
270,18.052905547469393,2023-09-16 01:38:05.669998,2023-09-16 01:38:37.572832,0 days 00:00:31.902834,0.6312545213498406,0.04470265967062102,3,416,0.12629113323179902,0.6790966424607658,0.5360453142081485,COMPLETE
271,18.448055498781937,2023-09-16 01:38:37.572832,2023-09-16 01:40:00.989232,0 days 00:01:23.416400,0.7658456654450392,0.01961317069874132,6,533,0.07202653659853281,0.7851838272421356,0.6131206952448789,COMPLETE
272,18.18612776553078,2023-09-16 01:40:00.989232,2023-09-16 01:40:45.763967,0 days 00:00:44.774735,0.7263877749232376,0.06827397180038218,4,444,0.04477158520861731,0.6994584814822191,0.6921747528621026,COMPLETE
273,21.11563500086373,2023-09-16 01:40:45.763967,2023-09-16 01:41:16.552224,0 days 00:00:30.788257,0.657672095881393,0.31389163773637885,3,392,0.10346294091418513,0.6545223265654327,0.5109172242830617,COMPLETE
274,18.084437645102582,2023-09-16 01:41:16.567849,2023-09-16 01:41:51.971605,0 days 00:00:35.403756,0.6840152620613629,0.04426606413714845,3,445,0.1356288038255856,0.7291856911436215,0.48437038643206864,COMPLETE
275,20.924567922986476,2023-09-16 01:41:51.987229,2023-09-16 01:42:27.855269,0 days 00:00:35.868040,0.6416988630224647,0.2577944174481629,3,470,0.0744579542935208,0.6778168287424792,0.5750030405798191,COMPLETE
276,98.71624180483701,2023-09-16 01:42:27.870894,2023-09-16 01:42:55.930773,0 days 00:00:28.059879,0.6282245309123226,0.00012758536244753677,3,371,0.03222641168097769,0.7545713523369328,0.5507138589724364,COMPLETE
277,17.957822343552653,2023-09-16 01:42:55.930773,2023-09-16 01:43:24.881957,0 days 00:00:28.951184,0.7166485622855924,0.03560660750755584,3,353,0.09288043467294177,0.6404040957636661,0.6693612140269287,COMPLETE
278,18.20906697129633,2023-09-16 01:43:24.897581,2023-09-16 01:43:53.004516,0 days 00:00:28.106935,0.7166548614112411,0.08329188426673315,3,344,0.0956401808601876,0.6408291369241705,0.676422611369786,COMPLETE
279,18.035490560637253,2023-09-16 01:43:53.004516,2023-09-16 01:44:22.000463,0 days 00:00:28.995947,0.7045189126864739,0.05736313288550059,3,357,0.12278704097562336,0.6329688605749556,0.6546737888866189,COMPLETE
280,21.83006246888957,2023-09-16 01:44:22.000463,2023-09-16 01:44:53.308303,0 days 00:00:31.307840,0.8011460309266137,0.2848581668976204,3,354,0.1462331482972169,0.6625931830418503,0.6648058844960937,COMPLETE
281,18.076909316647164,2023-09-16 01:44:53.308303,2023-09-16 01:45:32.898783,0 days 00:00:39.590480,0.7527953535400863,0.03660796715841725,3,482,0.08821608064133468,0.6439038507374534,0.700315677257861,COMPLETE
282,18.44476513263992,2023-09-16 01:45:32.898783,2023-09-16 01:46:08.239506,0 days 00:00:35.340723,0.6713780284926139,0.06645258385033893,3,453,0.11108701323029926,0.7642402302257741,0.6247223872091157,COMPLETE
283,18.00833424114898,2023-09-16 01:46:08.239506,2023-09-16 01:46:39.737957,0 days 00:00:31.498451,0.7324198121400479,0.0380119332591202,3,373,0.06408011621259896,0.7188635852073093,0.6047088362064665,COMPLETE
284,17.952625501934502,2023-09-16 01:46:39.737957,2023-09-16 01:47:10.400532,0 days 00:00:30.662575,0.7230679415330257,0.04729401577422459,3,368,0.07005695654732018,0.6497984446484701,0.6061616909650089,COMPLETE
285,18.460509679031738,2023-09-16 01:47:10.400532,2023-09-16 01:47:47.416675,0 days 00:00:37.016143,0.7341759933223756,0.0826570528325126,4,351,0.058085138047707,0.6311722216242744,0.6083579238180439,COMPLETE
286,18.10494797432606,2023-09-16 01:47:47.416675,2023-09-16 01:48:18.172969,0 days 00:00:30.756294,0.7413477558130531,0.049265222275980874,3,365,0.06712721926699988,0.9052645137699631,0.6313505316290423,COMPLETE
287,18.467124389356687,2023-09-16 01:48:18.172969,2023-09-16 01:49:05.526334,0 days 00:00:47.353365,0.7180876054858862,0.06975953313165059,5,381,0.1249436192618876,0.6267727193735256,0.6459556612883517,COMPLETE
288,18.481264201233277,2023-09-16 01:49:05.526334,2023-09-16 01:49:37.081800,0 days 00:00:31.555466,0.759109809628288,0.09986121516503116,3,365,0.15519198748372337,0.7366850109318875,0.5976814007199118,COMPLETE
289,17.97335306365658,2023-09-16 01:49:37.081800,2023-09-16 01:50:04.719203,0 days 00:00:27.637403,0.6993271719208182,0.04208669758802663,3,337,0.07920711776747243,0.6978088725346808,0.6225106443774608,COMPLETE
290,18.067373464508744,2023-09-16 01:50:04.719203,2023-09-16 01:51:01.428018,0 days 00:00:56.708815,0.7116385640463918,0.03981325643900456,3,711,0.04974939602772922,0.798227698800093,0.6252777596785782,COMPLETE
291,18.108679564530615,2023-09-16 01:51:01.428018,2023-09-16 01:51:31.211952,0 days 00:00:29.783934,0.6931493188139269,0.06034032933879467,3,373,0.07950627060739635,0.7104822053750557,0.6580901630170399,COMPLETE
292,18.17295834471609,2023-09-16 01:51:31.211952,2023-09-16 01:52:02.961057,0 days 00:00:31.749105,0.6956450726275789,0.033098676762171354,3,394,0.11730026887492927,0.691402734895137,0.6774890101338005,COMPLETE
293,18.887471643711734,2023-09-16 01:52:02.961057,2023-09-16 01:52:19.078856,0 days 00:00:16.117799,0.1478071467524259,0.12003295701472766,4,343,0.14063475879946355,0.6732174042302882,0.6195612045629791,COMPLETE
294,21.584492614447857,2023-09-16 01:52:19.078856,2023-09-16 01:52:48.613143,0 days 00:00:29.534287,0.6775713550438052,0.35055105945122794,3,372,0.2092951303625668,0.6938076085005687,0.6417808700108585,COMPLETE
295,25.0817148503903,2023-09-16 01:52:48.613143,2023-09-16 01:53:27.931728,0 days 00:00:39.318585,0.6176977989889698,0.4437728906022862,3,542,0.06932980102913362,0.7335510346778409,0.4443223310454053,COMPLETE
296,18.27107727337296,2023-09-16 01:53:27.947353,2023-09-16 01:53:58.830122,0 days 00:00:30.882769,0.7784194247216378,0.08771202383699353,3,352,0.18295127782400844,0.6551568079728428,0.6104718880416792,COMPLETE
297,18.780156835424386,2023-09-16 01:53:58.845747,2023-09-16 01:54:27.074889,0 days 00:00:28.229142,0.72413724730099,0.13878586181835842,3,335,0.15686835322606874,0.7092730123799625,0.5866538168379718,COMPLETE
298,17.9616155095351,2023-09-16 01:54:27.074889,2023-09-16 01:54:58.370559,0 days 00:00:31.295670,0.6937077722092899,0.05116512108981794,3,391,0.10417085431723866,0.6643135593250649,0.6560344566310864,COMPLETE
299,18.528512037855073,2023-09-16 01:54:58.370559,2023-09-16 01:55:30.282099,0 days 00:00:31.911540,0.7082711897370741,0.0697422012677364,3,398,0.11733671326638595,0.680759266624985,0.696861483473731,COMPLETE
300,17.92237756478889,2023-09-16 01:55:30.282099,2023-09-16 01:56:00.335181,0 days 00:00:30.053082,0.6882020518882874,0.04914806121037074,3,375,0.10670388196547007,0.6540368688291903,0.6530680803774503,COMPLETE
301,19.76531097215315,2023-09-16 01:56:00.335181,2023-09-16 01:56:31.030003,0 days 00:00:30.694822,0.6977152939428309,0.18623295403427487,3,383,0.09419596017339298,0.6649548233457132,0.6662187614175238,COMPLETE
302,19.011153997302547,2023-09-16 01:56:31.030003,2023-09-16 01:57:02.855940,0 days 00:00:31.825937,0.7265778158845102,0.09458745809722977,3,389,0.0768748723202877,0.6706315500080304,0.6844729958956095,COMPLETE
303,21.084218307318906,2023-09-16 01:57:02.871564,2023-09-16 01:57:39.596525,0 days 00:00:36.724961,0.6836461808941031,0.20435390223516325,4,372,0.10607691792327009,0.6962200801187893,0.6514593250680681,COMPLETE
304,22.6322828519729,2023-09-16 01:57:39.596525,2023-09-16 01:58:22.084398,0 days 00:00:42.487873,0.7758439588194876,0.2917004411777353,3,502,0.05187256310111207,0.6467070737832035,0.6491050060837092,COMPLETE
305,19.583520961551162,2023-09-16 01:58:22.084398,2023-09-16 01:58:50.864176,0 days 00:00:28.779778,0.7044182929429098,0.2524381424080432,3,361,0.12789748769568235,0.7141414763218639,0.7112187534074969,COMPLETE
306,18.09421142184962,2023-09-16 01:58:50.864176,2023-09-16 01:59:22.402600,0 days 00:00:31.538424,0.6756100083507603,0.054188825424033485,3,405,0.09895121964731546,0.6773741708871179,0.6707720383223738,COMPLETE
307,18.065466401048347,2023-09-16 01:59:22.402600,2023-09-16 01:59:58.443156,0 days 00:00:36.040556,0.7472051859111697,0.031821289245884954,3,425,0.0798715021131449,0.649212074572268,0.6049953113917124,COMPLETE
308,22.324413336543167,2023-09-16 01:59:58.443156,2023-09-16 02:00:30.225794,0 days 00:00:31.782638,0.6928813164183371,0.30724666883777885,3,391,0.14174881718274798,0.2720763881977842,0.5870184313243888,COMPLETE
309,69.24352658665921,2023-09-16 02:00:30.225794,2023-09-16 02:01:00.433177,0 days 00:00:30.207383,0.730539990559578,0.0011037612914764003,3,375,0.04210292614020086,0.6941652277968496,0.6876106544740974,COMPLETE
310,18.177936076641885,2023-09-16 02:01:00.433177,2023-09-16 02:01:28.175798,0 days 00:00:27.742621,0.6654905026374487,0.061305382487164856,3,350,0.06690585588157448,0.7268784810179888,0.6300447489362129,COMPLETE
311,18.03446507316185,2023-09-16 02:01:28.175798,2023-09-16 02:01:54.938452,0 days 00:00:26.762654,0.7095555315081605,0.019996772001366,3,323,0.10305178615908722,0.6259342041505986,0.6514898744053986,COMPLETE
