DATAFLOW,SPECIFICATION: Specification,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_E5300(1.0),"A15: Medical consultation, specialist (internal medecine)",A: Annual,2015,39.5,,,,,,1: One
LU1:DF_E5300(1.0),"A15: Medical consultation, specialist (internal medecine)",A: Annual,2016,39.1,,,,,,1: One
LU1:DF_E5300(1.0),"A15: Medical consultation, specialist (internal medecine)",A: Annual,2017,41.2,,,,,,1: One
LU1:DF_E5300(1.0),"A15: Medical consultation, specialist (internal medecine)",A: Annual,2018,41.2,,,,,,1: One
LU1:DF_E5300(1.0),"A15: Medical consultation, specialist (internal medecine)",A: Annual,2019,43.5,,,,,,1: One
LU1:DF_E5300(1.0),"A15: Medical consultation, specialist (internal medecine)",A: Annual,2020,44.6,,,,,,1: One
LU1:DF_E5300(1.0),"A15: Medical consultation, specialist (internal medecine)",A: Annual,2021,46.8,,,,,,1: One
LU1:DF_E5300(1.0),"A15: Medical consultation, specialist (internal medecine)",A: Annual,2022,49.17,,,,,,1: One
LU1:DF_E5300(1.0),"A13: Mineral water without fizz (1,5 l)",A: Annual,2000,0.5,,,,,,1: One
LU1:DF_E5300(1.0),"A13: Mineral water without fizz (1,5 l)",A: Annual,2001,0.5,,,,,,1: One
LU1:DF_E5300(1.0),"A13: Mineral water without fizz (1,5 l)",A: Annual,2002,0.5,,,,,,1: One
LU1:DF_E5300(1.0),"A13: Mineral water without fizz (1,5 l)",A: Annual,2003,0.5,,,,,,1: One
LU1:DF_E5300(1.0),"A13: Mineral water without fizz (1,5 l)",A: Annual,2004,0.5,,,,,,1: One
LU1:DF_E5300(1.0),"A13: Mineral water without fizz (1,5 l)",A: Annual,2005,0.5,,,,,,1: One
LU1:DF_E5300(1.0),"A13: Mineral water without fizz (1,5 l)",A: Annual,2006,0.5,,,,,,1: One
LU1:DF_E5300(1.0),"A13: Mineral water without fizz (1,5 l)",A: Annual,2007,0.5,,,,,,1: One
LU1:DF_E5300(1.0),"A13: Mineral water without fizz (1,5 l)",A: Annual,2008,0.5,,,,,,1: One
LU1:DF_E5300(1.0),"A13: Mineral water without fizz (1,5 l)",A: Annual,2009,0.5,,,,,,1: One
LU1:DF_E5300(1.0),"A13: Mineral water without fizz (1,5 l)",A: Annual,2010,0.54,,,,,,1: One
LU1:DF_E5300(1.0),"A13: Mineral water without fizz (1,5 l)",A: Annual,2011,0.5,,,,,,1: One
LU1:DF_E5300(1.0),"A13: Mineral water without fizz (1,5 l)",A: Annual,2012,0.559,,,,,,1: One
LU1:DF_E5300(1.0),"A13: Mineral water without fizz (1,5 l)",A: Annual,2013,0.59,,,,,,1: One
LU1:DF_E5300(1.0),"A13: Mineral water without fizz (1,5 l)",A: Annual,2014,0.5,,,,,,1: One
LU1:DF_E5300(1.0),"A13: Mineral water without fizz (1,5 l)",A: Annual,2015,0.5,,,,,,1: One
LU1:DF_E5300(1.0),"A13: Mineral water without fizz (1,5 l)",A: Annual,2016,0.51,,,,,,1: One
LU1:DF_E5300(1.0),"A13: Mineral water without fizz (1,5 l)",A: Annual,2017,0.537037037037037,,,,,,1: One
LU1:DF_E5300(1.0),"A13: Mineral water without fizz (1,5 l)",A: Annual,2018,0.56,,,,,,1: One
LU1:DF_E5300(1.0),"A13: Mineral water without fizz (1,5 l)",A: Annual,2019,0.58,,,,,,1: One
LU1:DF_E5300(1.0),"A13: Mineral water without fizz (1,5 l)",A: Annual,2020,0.59,,,,,,1: One
LU1:DF_E5300(1.0),"A13: Mineral water without fizz (1,5 l)",A: Annual,2021,0.67,,,,,,1: One
LU1:DF_E5300(1.0),"A13: Mineral water without fizz (1,5 l)",A: Annual,2022,0.835,,,,,,1: One
LU1:DF_E5300(1.0),A17: Fuel oil (1 l),A: Annual,2000,0.3,,,,,,1: One
LU1:DF_E5300(1.0),A17: Fuel oil (1 l),A: Annual,2001,0.3,,,,,,1: One
LU1:DF_E5300(1.0),A17: Fuel oil (1 l),A: Annual,2002,0.3,,,,,,1: One
LU1:DF_E5300(1.0),A17: Fuel oil (1 l),A: Annual,2003,0.3,,,,,,1: One
LU1:DF_E5300(1.0),A17: Fuel oil (1 l),A: Annual,2004,0.3,,,,,,1: One
LU1:DF_E5300(1.0),A17: Fuel oil (1 l),A: Annual,2005,0.5,,,,,,1: One
