listing_no,postcode,price_chf,description,canton,long_title,seller,price_with_utilities,object,category,rooms,space_sqm,characteristics,availability,last_change,listing_number,available_as_of
66,3067,1580,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Wohlfühloase!,NA,1580,Wohnung,Wohnung,3.5,83,NA,NA,2023-05-02,48086149,NA
67,2502,1710,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Modernes Wohnen mitten in Biel - MIETEN OHNE KAUTION,NA,1710,Wohnung,Wohnung,4.5,90,NA,NA,2023-05-02,48086143,NA
68,3400,1446,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,5 Minuten vom Bahnhof entfernt!,NA,1446,Wohnung,Wohnung,3,70,NA,NA,2023-05-02,48086118,NA
69,3114,1670,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Ihre Wohlfühloase,NA,1670,Wohnung,Wohnung,4.5,92,NA,NA,2023-05-02,48086108,NA
70,2740,1500,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Appartement lumineux en centre ville,NA,1500,Wohnung,Wohnung,4,104,NA,NA,2023-05-02,48086098,NA
71,3422,1440,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Ländlich und doch zentral! Erster Mietzins Netto gratis!,NA,1440,Wohnung,Wohnung,3.5,74,NA,NA,2023-05-02,48086093,NA
72,3006,1400,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Altbauwohnung,NA,1400,Wohnung,Wohnung,2,58,NA,NA,2023-05-02,48086089,NA
73,3067,1540,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Gemütliche Wohnung in Boll,NA,1540,Wohnung,Wohnung,3,77,NA,NA,2023-05-02,48086087,NA
74,2504,1065,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,2-Zimmerwohnung gesucht?,NA,1065,Wohnung,Wohnung,2,52,NA,NA,2023-05-02,48086074,NA
75,2502,790,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Ihr Büro mitten im Zentrum von Biel,NA,790,Wohnung,Wohnung,2,28,NA,NA,2023-05-02,48086071,NA
76,3048,1550,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Schöne 3.5 Zimmerwohnung an ruhiger Lage,NA,1550,Wohnung,Wohnung,3.5,79,NA,NA,2023-05-02,48086047,NA
77,3550,1135,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Ihre Wohlfühloase wartet auf Sie!,NA,1135,Wohnung,Wohnung,3,62,NA,NA,2023-05-02,48086027,NA
78,2503,1114,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Ihre Wohnoase - Mieten ohne Kaution!,NA,1114,Wohnung,Wohnung,2,49,NA,NA,2023-05-02,48086021,NA
79,3250,1360,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Trendig und modern,NA,1360,Wohnung,Wohnung,3.5,65,NA,NA,2023-05-02,48085983,NA
80,2502,1620,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Schöne Stadtwohnung - Mieten ohne Kaution,NA,1620,Wohnung,Wohnung,3.5,80,NA,NA,2023-05-02,48085979,NA
81,2502,1825,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Hier endet Ihre Wohnungssuche,NA,1825,Wohnung,Wohnung,4.5,94,NA,NA,2023-05-02,48085969,NA
82,3612,1830,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,FRÜHLINGSAKTION - WIR BESCHENKEN SIE!,NA,1830,Wohnung,Wohnung,3.5,94,NA,NA,2023-05-02,48085968,NA
83,4900,1980,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Familienwohnung sucht Familie,NA,1980,Wohnung,Wohnung,4.5,112,NA,NA,2023-05-02,48085953,NA
84,3067,1790,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Leben im Grünen,NA,1790,Wohnung,Wohnung,4.5,93,NA,NA,2023-05-02,48085950,NA
85,3250,2250,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Im Alter barrierefrei Wohnen!,NA,2250,Wohnung,Wohnung,3.5,87,NA,NA,2023-05-02,48085948,NA
86,3612,910,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Die perfekte Single-Wohnung,NA,910,Wohnung,Wohnung,1.5,42,NA,NA,2023-05-02,48085942,NA
87,4900,2000,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Ihr neues Zuhause!,NA,2000,Wohnung,Wohnung,6.5,127,NA,NA,2023-05-02,48085932,NA
88,3250,1900,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,3½-Zimmer-Wohnung - Erstbezug beim Bahnhof!,NA,1900,Wohnung,Wohnung,3.5,97,NA,NA,2023-05-02,48085927,NA
89,4950,1145,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Wo man lebt und leben lässt. - Mieten ohne Kaution!,NA,1145,Wohnung,Wohnung,3,59,NA,NA,2023-05-02,48085878,NA
