listing_no,price_chf,condition,displacement,year,brand,model,mileage_km,transmission,fuel,colour,last_edited,id,mfk,drive
16920,7200,NA,NA,2007,HARLEY-DAVIDSON,XL 883 L Sportster Low Injection,12960,Schaltgetriebe,Benzin,Schwarz,2022-08-18,42443954,no,Hinterradantrieb
16921,10500,NA,NA,2020,MOTO GUZZI,V9 Bobber Sport 850 ABS,700,Schaltgetriebe,Benzin,Orange,2022-03-03,42443946,yes,Hinterradantrieb
16922,5590,NA,NA,2009,HONDA,CBF 600 SA ABS (25kW),18100,Schaltgetriebe,Benzin,Schwarz,2022-03-03,42443928,yes,Hinterradantrieb
16923,4890,NA,NA,2009,HONDA,CBF 600 SA ABS,18100,Schaltgetriebe,Benzin,Schwarz,2022-03-03,42443927,yes,Hinterradantrieb
16924,6740,NA,NA,2020,Mash,FORCE 400 Desert,5,Schaltgetriebe,Benzin,Beige,2022-03-03,42443923,yes,Hinterradantrieb
16925,16990,NA,NA,2022,Indian,Scout 1200,1,Schaltgetriebe,Benzin,Schwarz,2022-05-29,42443913,yes,Hinterradantrieb
16926,3890,NA,NA,2022,MALAGUTI,Dune 125,1,Schaltgetriebe,Benzin,Weiss,2022-07-10,42443909,yes,Hinterradantrieb
16927,4700,NA,NA,2006,HONDA,CBF 500 A,20200,NA,Benzin,Schwarz,2022-06-14,42443904,no,NA
16928,3900,NA,NA,2006,HONDA,CBF 500 A,20200,NA,Benzin,Schwarz,2022-06-14,42443903,no,NA
16929,10995,NA,NA,2022,SUZUKI,GSX S950U,10,Schaltgetriebe,Benzin,Weiss,2022-08-05,42443891,yes,Hinterradantrieb
16930,9700,NA,NA,2021,APRILIA,Tuono 660,56,Schaltgetriebe,Benzin,Grau,2022-03-23,42443888,yes,Hinterradantrieb
16931,3190,NA,NA,2022,KYMCO,AGILITY 125I CARRY CBS,10,Automatik,Benzin,Weiss,2022-03-03,42443883,yes,Hinterradantrieb
16932,4790,NA,NA,2022,MALAGUTI,DUNE 125 ABS,3,Schaltgetriebe,Benzin,Weiss,2022-03-03,42443882,yes,Hinterradantrieb
16933,9150,NA,NA,2022,KAWASAKI,NINJA 650,10,Schaltgetriebe,Benzin,Weiss,2022-07-01,42443880,yes,Hinterradantrieb
16934,13400,NA,NA,2021,DUCATI,Scrambler 1100 Dark Pro,1150,Schaltgetriebe,Benzin,Schwarz,2022-03-03,42443877,yes,Hinterradantrieb
16935,4790,NA,NA,2022,NA,GP ONE,4,Schaltgetriebe,Benzin,Schwarz,2022-03-03,42443876,yes,NA
16936,20500,NA,NA,2015,YAMAHA,V-MAX Carbon,2900,Schaltgetriebe,Benzin,Schwarz,2022-09-01,42443863,yes,Hinterradantrieb
16937,12100,NA,NA,2021,DUCATI,Monster 937,1700,Schaltgetriebe,Benzin,Schwarz,2022-03-03,42443852,yes,Hinterradantrieb
