LAU1,Canton,LAU2,Commune,Type,kW
1,Capellen,103,Habscht,Installation photovoltaïque,29.9
1,Capellen,103,Habscht,Installation photovoltaïque,29.9
1,Capellen,103,Habscht,Installation photovoltaïque,29.96
1,Capellen,103,Habscht,Installation photovoltaïque,30
1,Capellen,103,Habscht,Installation photovoltaïque,30
1,Capellen,103,Habscht,Installation photovoltaïque,31.3
1,Capellen,103,Habscht,Installation photovoltaïque,32
1,Capellen,103,Habscht,Installation photovoltaïque,48.96
1,Capellen,103,Habscht,Installation photovoltaïque,48.96
1,Capellen,103,Habscht,Installation photovoltaïque,89.1
1,Capellen,103,Habscht,Installation photovoltaïque,133.98
1,Capellen,103,Habscht,Installation photovoltaïque,170.61
1,Capellen,103,Habscht,Installation photovoltaïque,199.98
1,Capellen,103,Habscht,Installation photovoltaïque,200
1,Capellen,103,Habscht,Installation photovoltaïque,200
1,Capellen,104,Käerjeng,Cogénération,5.3
1,Capellen,104,Käerjeng,Cogénération,5.5
1,Capellen,104,Käerjeng,Cogénération,600
1,Capellen,104,Käerjeng,Installation photovoltaïque,1.4
1,Capellen,104,Käerjeng,Installation photovoltaïque,3
1,Capellen,104,Käerjeng,Installation photovoltaïque,3
1,Capellen,104,Käerjeng,Installation photovoltaïque,3
1,Capellen,104,Käerjeng,Installation photovoltaïque,3
1,Capellen,104,Käerjeng,Installation photovoltaïque,3.15
1,Capellen,104,Käerjeng,Installation photovoltaïque,3.52
1,Capellen,104,Käerjeng,Installation photovoltaïque,3.6
1,Capellen,104,Käerjeng,Installation photovoltaïque,3.84
1,Capellen,104,Käerjeng,Installation photovoltaïque,3.85
1,Capellen,104,Käerjeng,Installation photovoltaïque,3.9
1,Capellen,104,Käerjeng,Installation photovoltaïque,3.92
1,Capellen,104,Käerjeng,Installation photovoltaïque,3.96
1,Capellen,104,Käerjeng,Installation photovoltaïque,3.96
1,Capellen,104,Käerjeng,Installation photovoltaïque,4
1,Capellen,104,Käerjeng,Installation photovoltaïque,4
1,Capellen,104,Käerjeng,Installation photovoltaïque,4
1,Capellen,104,Käerjeng,Installation photovoltaïque,4
1,Capellen,104,Käerjeng,Installation photovoltaïque,4
1,Capellen,104,Käerjeng,Installation photovoltaïque,4
1,Capellen,104,Käerjeng,Installation photovoltaïque,4
1,Capellen,104,Käerjeng,Installation photovoltaïque,4.44
1,Capellen,104,Käerjeng,Installation photovoltaïque,4.5
1,Capellen,104,Käerjeng,Installation photovoltaïque,4.56
1,Capellen,104,Käerjeng,Installation photovoltaïque,4.76
1,Capellen,104,Käerjeng,Installation photovoltaïque,4.8
1,Capellen,104,Käerjeng,Installation photovoltaïque,4.9
1,Capellen,104,Käerjeng,Installation photovoltaïque,5.44
1,Capellen,104,Käerjeng,Installation photovoltaïque,5.52
1,Capellen,104,Käerjeng,Installation photovoltaïque,5.52
1,Capellen,104,Käerjeng,Installation photovoltaïque,5.89
1,Capellen,104,Käerjeng,Installation photovoltaïque,5.98
1,Capellen,104,Käerjeng,Installation photovoltaïque,6
1,Capellen,104,Käerjeng,Installation photovoltaïque,6.11
1,Capellen,104,Käerjeng,Installation photovoltaïque,6.12
1,Capellen,104,Käerjeng,Installation photovoltaïque,6.5
1,Capellen,104,Käerjeng,Installation photovoltaïque,6.57
1,Capellen,104,Käerjeng,Installation photovoltaïque,6.6
1,Capellen,104,Käerjeng,Installation photovoltaïque,6.63
1,Capellen,104,Käerjeng,Installation photovoltaïque,6.96
1,Capellen,104,Käerjeng,Installation photovoltaïque,7.02
1,Capellen,104,Käerjeng,Installation photovoltaïque,7.04
1,Capellen,104,Käerjeng,Installation photovoltaïque,7.1
1,Capellen,104,Käerjeng,Installation photovoltaïque,7.14
1,Capellen,104,Käerjeng,Installation photovoltaïque,7.2
1,Capellen,104,Käerjeng,Installation photovoltaïque,7.2
1,Capellen,104,Käerjeng,Installation photovoltaïque,7.2
1,Capellen,104,Käerjeng,Installation photovoltaïque,7.2
1,Capellen,104,Käerjeng,Installation photovoltaïque,7.2
1,Capellen,104,Käerjeng,Installation photovoltaïque,7.2
1,Capellen,104,Käerjeng,Installation photovoltaïque,7.28
1,Capellen,104,Käerjeng,Installation photovoltaïque,7.35
1,Capellen,104,Käerjeng,Installation photovoltaïque,7.6
1,Capellen,104,Käerjeng,Installation photovoltaïque,7.65
1,Capellen,104,Käerjeng,Installation photovoltaïque,7.8
1,Capellen,104,Käerjeng,Installation photovoltaïque,7.9
1,Capellen,104,Käerjeng,Installation photovoltaïque,7.99
1,Capellen,104,Käerjeng,Installation photovoltaïque,8
1,Capellen,104,Käerjeng,Installation photovoltaïque,8
1,Capellen,104,Käerjeng,Installation photovoltaïque,8
1,Capellen,104,Käerjeng,Installation photovoltaïque,8
1,Capellen,104,Käerjeng,Installation photovoltaïque,8.14
1,Capellen,104,Käerjeng,Installation photovoltaïque,8.16
1,Capellen,104,Käerjeng,Installation photovoltaïque,8.16
1,Capellen,104,Käerjeng,Installation photovoltaïque,8.25
1,Capellen,104,Käerjeng,Installation photovoltaïque,8.32
1,Capellen,104,Käerjeng,Installation photovoltaïque,8.32
1,Capellen,104,Käerjeng,Installation photovoltaïque,8.36
1,Capellen,104,Käerjeng,Installation photovoltaïque,8.36
1,Capellen,104,Käerjeng,Installation photovoltaïque,8.4
1,Capellen,104,Käerjeng,Installation photovoltaïque,8.58
1,Capellen,104,Käerjeng,Installation photovoltaïque,8.64
1,Capellen,104,Käerjeng,Installation photovoltaïque,8.82
1,Capellen,104,Käerjeng,Installation photovoltaïque,8.85
1,Capellen,104,Käerjeng,Installation photovoltaïque,8.88
1,Capellen,104,Käerjeng,Installation photovoltaïque,8.96
1,Capellen,104,Käerjeng,Installation photovoltaïque,9.1
1,Capellen,104,Käerjeng,Installation photovoltaïque,9.2
1,Capellen,104,Käerjeng,Installation photovoltaïque,9.32
1,Capellen,104,Käerjeng,Installation photovoltaïque,9.36
1,Capellen,104,Käerjeng,Installation photovoltaïque,9.38
1,Capellen,104,Käerjeng,Installation photovoltaïque,9.6
1,Capellen,104,Käerjeng,Installation photovoltaïque,9.6
1,Capellen,104,Käerjeng,Installation photovoltaïque,9.62
1,Capellen,104,Käerjeng,Installation photovoltaïque,9.7
1,Capellen,104,Käerjeng,Installation photovoltaïque,9.72
1,Capellen,104,Käerjeng,Installation photovoltaïque,9.75
1,Capellen,104,Käerjeng,Installation photovoltaïque,9.75
1,Capellen,104,Käerjeng,Installation photovoltaïque,9.8
1,Capellen,104,Käerjeng,Installation photovoltaïque,9.86
1,Capellen,104,Käerjeng,Installation photovoltaïque,9.86
1,Capellen,104,Käerjeng,Installation photovoltaïque,9.9
1,Capellen,104,Käerjeng,Installation photovoltaïque,9.9
1,Capellen,104,Käerjeng,Installation photovoltaïque,9.99
1,Capellen,104,Käerjeng,Installation photovoltaïque,9.99
1,Capellen,104,Käerjeng,Installation photovoltaïque,9.99
1,Capellen,104,Käerjeng,Installation photovoltaïque,10
1,Capellen,104,Käerjeng,Installation photovoltaïque,10.14
1,Capellen,104,Käerjeng,Installation photovoltaïque,10.14
1,Capellen,104,Käerjeng,Installation photovoltaïque,10.75
1,Capellen,104,Käerjeng,Installation photovoltaïque,10.8
1,Capellen,104,Käerjeng,Installation photovoltaïque,11.25
1,Capellen,104,Käerjeng,Installation photovoltaïque,11.32
1,Capellen,104,Käerjeng,Installation photovoltaïque,11.48
1,Capellen,104,Käerjeng,Installation photovoltaïque,11.75
1,Capellen,104,Käerjeng,Installation photovoltaïque,11.76
1,Capellen,104,Käerjeng,Installation photovoltaïque,11.76
1,Capellen,104,Käerjeng,Installation photovoltaïque,12
1,Capellen,104,Käerjeng,Installation photovoltaïque,12
1,Capellen,104,Käerjeng,Installation photovoltaïque,12
1,Capellen,104,Käerjeng,Installation photovoltaïque,12
1,Capellen,104,Käerjeng,Installation photovoltaïque,12.04
1,Capellen,104,Käerjeng,Installation photovoltaïque,12.05
1,Capellen,104,Käerjeng,Installation photovoltaïque,12.1
1,Capellen,104,Käerjeng,Installation photovoltaïque,13
1,Capellen,104,Käerjeng,Installation photovoltaïque,13
1,Capellen,104,Käerjeng,Installation photovoltaïque,13.26
1,Capellen,104,Käerjeng,Installation photovoltaïque,13.33
1,Capellen,104,Käerjeng,Installation photovoltaïque,13.78
1,Capellen,104,Käerjeng,Installation photovoltaïque,13.86
1,Capellen,104,Käerjeng,Installation photovoltaïque,14.08
1,Capellen,104,Käerjeng,Installation photovoltaïque,14.25
1,Capellen,104,Käerjeng,Installation photovoltaïque,14.5
1,Capellen,104,Käerjeng,Installation photovoltaïque,14.8
1,Capellen,104,Käerjeng,Installation photovoltaïque,14.82
1,Capellen,104,Käerjeng,Installation photovoltaïque,15.28
1,Capellen,104,Käerjeng,Installation photovoltaïque,15.48
1,Capellen,104,Käerjeng,Installation photovoltaïque,16.24
1,Capellen,104,Käerjeng,Installation photovoltaïque,16.31
1,Capellen,104,Käerjeng,Installation photovoltaïque,16.38
1,Capellen,104,Käerjeng,Installation photovoltaïque,16.9
1,Capellen,104,Käerjeng,Installation photovoltaïque,17.76
1,Capellen,104,Käerjeng,Installation photovoltaïque,18
1,Capellen,104,Käerjeng,Installation photovoltaïque,18.76
1,Capellen,104,Käerjeng,Installation photovoltaïque,18.76
1,Capellen,104,Käerjeng,Installation photovoltaïque,19.08
1,Capellen,104,Käerjeng,Installation photovoltaïque,19.08
1,Capellen,104,Käerjeng,Installation photovoltaïque,19.32
1,Capellen,104,Käerjeng,Installation photovoltaïque,19.92
1,Capellen,104,Käerjeng,Installation photovoltaïque,20.31
1,Capellen,104,Käerjeng,Installation photovoltaïque,21.2
1,Capellen,104,Käerjeng,Installation photovoltaïque,22.4
1,Capellen,104,Käerjeng,Installation photovoltaïque,22.72
1,Capellen,104,Käerjeng,Installation photovoltaïque,24.84
1,Capellen,104,Käerjeng,Installation photovoltaïque,26.97
1,Capellen,104,Käerjeng,Installation photovoltaïque,27.06
1,Capellen,104,Käerjeng,Installation photovoltaïque,27.2
1,Capellen,104,Käerjeng,Installation photovoltaïque,27.9
1,Capellen,104,Käerjeng,Installation photovoltaïque,28.8
1,Capellen,104,Käerjeng,Installation photovoltaïque,29.58
1,Capellen,104,Käerjeng,Installation photovoltaïque,29.64
1,Capellen,104,Käerjeng,Installation photovoltaïque,29.67
1,Capellen,104,Käerjeng,Installation photovoltaïque,29.8
1,Capellen,104,Käerjeng,Installation photovoltaïque,29.82
1,Capellen,104,Käerjeng,Installation photovoltaïque,29.89
1,Capellen,104,Käerjeng,Installation photovoltaïque,29.92
1,Capellen,104,Käerjeng,Installation photovoltaïque,29.95
1,Capellen,104,Käerjeng,Installation photovoltaïque,29.95
1,Capellen,104,Käerjeng,Installation photovoltaïque,29.97
1,Capellen,104,Käerjeng,Installation photovoltaïque,29.97
1,Capellen,104,Käerjeng,Installation photovoltaïque,30
1,Capellen,104,Käerjeng,Installation photovoltaïque,30
1,Capellen,104,Käerjeng,Installation photovoltaïque,30
1,Capellen,104,Käerjeng,Installation photovoltaïque,30
1,Capellen,104,Käerjeng,Installation photovoltaïque,30
1,Capellen,104,Käerjeng,Installation photovoltaïque,32
1,Capellen,104,Käerjeng,Installation photovoltaïque,50
1,Capellen,104,Käerjeng,Installation photovoltaïque,50
1,Capellen,104,Käerjeng,Installation photovoltaïque,50
1,Capellen,104,Käerjeng,Installation photovoltaïque,50
1,Capellen,104,Käerjeng,Installation photovoltaïque,69.68
1,Capellen,104,Käerjeng,Installation photovoltaïque,70
1,Capellen,104,Käerjeng,Installation photovoltaïque,70.62
1,Capellen,104,Käerjeng,Installation photovoltaïque,99.82
1,Capellen,104,Käerjeng,Installation photovoltaïque,119.6
1,Capellen,104,Käerjeng,Installation photovoltaïque,134.64
1,Capellen,104,Käerjeng,Installation photovoltaïque,137.94
1,Capellen,104,Käerjeng,Installation photovoltaïque,139.86
1,Capellen,104,Käerjeng,Installation photovoltaïque,185.79
1,Capellen,104,Käerjeng,Installation photovoltaïque,199.32
1,Capellen,104,Käerjeng,Installation photovoltaïque,199.8
1,Capellen,104,Käerjeng,Installation photovoltaïque,199.8
1,Capellen,104,Käerjeng,Installation photovoltaïque,755.04
1,Capellen,104,Käerjeng,Installation photovoltaïque,998
